datetime,open,high,low,close,volume 
2007.12.19 22:00:00,801.79,802.871,793.103,795.888,7.10487
2007.12.20 22:00:00,795.643,812.055,795.112,811.122,6.76282
2007.12.23 22:00:00,810.77,815.071,807.861,811.918,5.68201
2007.12.24 22:00:00,811.58,812.005,806.211,806.356,3.3197
2007.12.25 22:00:00,806.398,825.792,806.298,824.052,6.64659
2007.12.26 22:00:00,824.1,830.957,821.149,825.242,7.481
2007.12.27 22:00:00,825.191,840.464,824.37,840.013,6.90973
2007.12.30 22:00:00,839.922,842.901,829.785,833.096,6.09388
2007.12.31 22:00:00,833.016,833.319,832.865,833.062,3.63114
2008.01.01 22:00:00,833.031,860.809,832.937,857.248,7.03442
2008.01.02 22:00:00,857.136,868.807,852.92,864.63,7.43591
2008.01.03 22:00:00,864.518,868.347,854.163,858.922,7.38375
2008.01.06 22:00:00,859.348,864.554,854.915,857.69,6.91657
2008.01.07 22:00:00,857.62,880.687,856.324,877.403,7.25637
2008.01.08 22:00:00,877.422,891.045,872.327,878.524,7.27574
2008.01.09 22:00:00,878.363,894.742,866.151,892.631,7.53891
2008.01.10 22:00:00,892.651,897.559,887.482,894.748,7.42188
2008.01.13 22:00:00,895.522,913.916,891.654,903.671,6.95016
2008.01.14 22:00:00,903.647,913.793,887.172,887.797,7.40629
2008.01.15 22:00:00,887.81,899.434,874.305,876.689,7.33546
2008.01.16 22:00:00,876.637,889.678,874.415,877.171,7.56345
2008.01.17 22:00:00,877.132,888.147,870.114,882.72,7.47358
2008.01.20 22:00:00,883.97,884.477,860.512,864.559,6.80553
2008.01.21 22:00:00,864.728,894.044,849.219,891.841,7.40519
2008.01.22 22:00:00,891.782,895.406,876.162,890.021,7.31436
2008.01.23 22:00:00,890.019,913.072,888.728,912.424,7.61745
2008.01.24 22:00:00,912.471,923.304,906.097,913.247,7.35649
2008.01.27 22:00:00,913.02,928.971,911.148,928.359,7.04483
2008.01.28 22:00:00,928.01,932.741,919.1,923.203,7.43422
2008.01.29 22:00:00,923.12,936.384,915.984,928.942,7.41433
2008.01.30 22:00:00,928.782,929.387,918.253,925.524,7.65048
2008.01.31 22:00:00,925.473,936.386,903.5,904.907,7.48186
2008.02.03 22:00:00,909.723,912.503,892.158,903.085,7.0513
2008.02.04 22:00:00,903.073,906.626,884.392,887.789,7.37698
2008.02.05 22:00:00,887.59,906.993,885.7,899.998,7.22061
2008.02.06 22:00:00,899.978,910.998,896.445,910.199,7.72348
2008.02.07 22:00:00,910.204,922.773,907.273,922.446,7.44656
2008.02.10 22:00:00,923.248,926.76,915.752,922.943,7.10785
2008.02.11 22:00:00,922.871,924.368,902.682,905.949,7.43717
2008.02.12 22:00:00,905.886,910.34,896.076,906.181,7.44587
2008.02.13 22:00:00,906.073,913.623,901.521,907.535,7.64653
2008.02.14 22:00:00,907.587,915.214,897.783,901.837,7.45769
2008.02.17 22:00:00,901.923,907.326,900.042,904.631,6.70075
2008.02.18 22:00:00,904.652,930.282,904.633,927.313,7.54328
2008.02.19 22:00:00,927.275,945.341,914.307,944.028,7.43003
2008.02.20 22:00:00,943.946,953.428,937.696,945.466,7.81132
2008.02.21 22:00:00,945.332,949.375,935.052,944.707,7.62142
2008.02.24 22:00:00,944.048,951.68,933.122,939.123,7.20312
2008.02.25 22:00:00,939.172,950.103,926.374,947.833,7.62349
2008.02.26 22:00:00,947.886,964.202,947.561,957.763,7.6282
2008.02.27 22:00:00,957.725,972.323,952.843,970.506,7.92615
2008.02.28 22:00:00,970.467,975.714,964.847,973.248,7.81939
2008.03.02 22:00:00,973.423,989.156,972.427,983.474,7.3249
2008.03.03 22:00:00,983.362,987.739,955.971,963.681,7.68189
2008.03.04 22:00:00,963.57,992.65,959.28,989.166,7.63529
2008.03.05 22:00:00,989.15,991.84,965.667,978.448,8.05421
2008.03.06 22:00:00,978.427,987.487,969.552,972.523,7.83362
2008.03.09 21:00:00,972.348,980.428,961.151,972.431,7.41159
2008.03.10 21:00:00,972.375,985.136,965.598,972.94,7.86381
2008.03.11 21:00:00,972.816,982.829,968.088,982.33,7.7011
2008.03.12 21:00:00,982.204,999.314,981.13,994.31,8.18516
2008.03.13 21:00:00,994.306,1006.82,990.377,1002.248,7.96846
2008.03.16 21:00:00,1000.741,1031.828,994.371,1001.712,7.39673
2008.03.17 21:00:00,1001.69,1011.773,976.493,981.051,7.99442
2008.03.18 21:00:00,981.03,996.772,937.06,943.588,7.65802
2008.03.19 21:00:00,943.686,944.078,904.303,909.656,8.25564
2008.03.20 21:00:00,909.624,919.003,908.638,918.848,3.36555
2008.03.23 21:00:00,918.83,926.347,906.229,914.687,6.61322
2008.03.24 21:00:00,914.64,938.626,911.265,938.281,6.9775
2008.03.25 21:00:00,938.255,954.127,934.26,953.385,6.96332
2008.03.26 21:00:00,953.37,954.519,939.952,946.533,7.27895
2008.03.27 21:00:00,946.506,950.556,923.014,930.73,7.0518
2008.03.30 21:00:00,929.747,940.385,912.2,915.715,6.62215
2008.03.31 21:00:00,915.809,920.434,874.073,881.847,7.05984
2008.04.01 21:00:00,881.87,905.375,881.4,903.867,6.84144
2008.04.02 21:00:00,903.892,907.896,889.566,902.506,7.19724
2008.04.03 21:00:00,902.54,914.29,899.977,913.08,6.90867
2008.04.06 21:00:00,912.658,928.835,910.843,919.318,6.65343
2008.04.07 21:00:00,919.397,925.295,908.432,914.216,7.00849
2008.04.08 21:00:00,914.175,935.214,902.843,933.351,6.89197
2008.04.09 21:00:00,933.358,939.348,921.515,928.245,7.09786
2008.04.10 21:00:00,928.271,931.424,918.304,924.63,7.00335
2008.04.13 21:00:00,924.697,930.896,913.858,923.605,6.64831
2008.04.14 21:00:00,923.617,935.759,922.92,927.243,6.88931
2008.04.15 21:00:00,927.303,948.368,924.12,943.887,6.98191
2008.04.16 21:00:00,943.932,952.57,937.039,938.151,7.0881
2008.04.17 21:00:00,938.193,946.336,904.429,916.104,7.1155
2008.04.20 21:00:00,915.748,927.988,911.183,916.365,6.67728
2008.04.21 21:00:00,916.459,924.896,911.534,914.921,6.94667
2008.04.22 21:00:00,915.032,922.284,896.882,903.514,6.84497
2008.04.23 21:00:00,903.428,905.998,882.794,885.311,7.22224
2008.04.24 21:00:00,885.458,895.927,877.594,885,7.01942
2008.04.27 21:00:00,884.919,895.144,884.817,892.344,6.8731
2008.04.28 21:00:00,892.317,892.92,868.134,869.679,6.99173
2008.04.29 21:00:00,869.79,878.021,862.156,876.483,7.19999
2008.04.30 21:00:00,876.772,881.372,846.641,851.51,7.30554
2008.05.01 21:00:00,851.57,858.725,846.705,855.216,7.26716
2008.05.04 21:00:00,855.197,873.879,855.076,873.332,6.63039
2008.05.05 21:00:00,873.533,882.614,870.847,875.895,6.99672
2008.05.06 21:00:00,875.824,880.882,863.799,868.284,7.03365
2008.05.07 21:00:00,868.289,885.347,864.974,881.417,7.33891
2008.05.08 21:00:00,881.366,889.298,870.06,883.657,7.08639
2008.05.11 21:00:00,883.647,889.347,877.373,881.875,6.72678
2008.05.12 21:00:00,881.99,885.166,861.024,866,7.06553
2008.05.13 21:00:00,866.002,870.297,859.769,863.182,6.96598
2008.05.14 21:00:00,863.322,887.027,861.657,881.011,7.24322
2008.05.15 21:00:00,881.003,904.167,879.511,901.233,7.08984
2008.05.18 21:00:00,901.069,913.406,900.324,904.434,6.66166
2008.05.19 21:00:00,904.539,922.613,902.368,918.601,7.11209
2008.05.20 21:00:00,918.719,932.21,916.088,931.887,6.9879
2008.05.21 21:00:00,932.065,934.916,916.939,920.598,7.46171
2008.05.22 21:00:00,920.619,928.159,914.672,923.975,7.04496
2008.05.25 21:00:00,923.923,928.839,922.855,928.283,5.91703
2008.05.26 21:00:00,928.058,930.392,904.03,905.232,7.25076
2008.05.27 21:00:00,905.292,909.425,889.224,900.222,7.18927
2008.05.28 21:00:00,900.178,902.732,873.128,877.154,7.49493
2008.05.29 21:00:00,877.376,888.64,870.734,885.468,7.23951
2008.06.01 21:00:00,885.669,896.981,880.98,890.774,6.84333
2008.06.02 21:00:00,890.622,896.609,875.255,879.806,7.23509
2008.06.03 21:00:00,879.827,886.177,875.749,878.578,7.09417
2008.06.04 21:00:00,878.566,878.664,864.592,876.532,7.4708
2008.06.05 21:00:00,876.704,901.87,876.172,901.005,7.39581
2008.06.08 21:00:00,901.148,908.525,890.407,892.091,6.93143
2008.06.09 21:00:00,892.238,894.456,863.823,866.216,7.28641
2008.06.10 21:00:00,866.363,882.491,865.794,879.509,7.24531
2008.06.11 21:00:00,879.642,881.881,857.264,867.37,7.55825
2008.06.12 21:00:00,867.648,873.945,858.955,870.946,7.27052
