datetime,open,high,low,close
2024.01.16 21:00:00,90.00,150.00,50.00,110.00
2024.02.09 21:00:00,90.00,150.00,50.00,110.00
2024.02.23 21:00:00,90.00,150.00,50.00,110.00
2024.03.08 21:00:00,90.00,150.00,50.00,110.00
2024.04.23 21:00:00,90.00,150.00,50.00,110.00
2024.06.04 21:00:00,90.00,150.00,50.00,110.00
2024.07.09 21:00:00,90.00,150.00,50.00,110.00
2024.07.26 21:00:00,90.00,150.00,50.00,110.00
2024.08.30 21:00:00,90.00,150.00,50.00,110.00
2024.09.03 21:00:00,90.00,150.00,50.00,110.00
2024.10.04 21:00:00,90.00,150.00,50.00,110.00
2024.12.06 21:00:00,90.00,150.00,50.00,110.00
2024.12.13 21:00:00,90.00,150.00,50.00,110.00
2025.01.10 21:00:00,90.00,150.00,50.00,110.00
2025.02.11 21:00:00,90.00,150.00,50.00,110.00
2025.02.14 21:00:00,90.00,150.00,50.00,110.00
2025.03.25 21:00:00,90.00,150.00,50.00,110.00
2025.05.09 21:00:00,90.00,150.00,50.00,110.00
2025.05.23 21:00:00,90.00,150.00,50.00,110.00
2025.05.30 21:00:00,90.00,150.00,50.00,110.00
2025.06.17 21:00:00,90.00,150.00,50.00,110.00
2025.07.25 21:00:00,90.00,150.00,50.00,110.00
2025.08.08 21:00:00,90.00,150.00,50.00,110.00
